iter	RMSE
0	0.7309264106
1	0.729273126
2	0.7279788461
3	0.7268310323
4	0.7258382059
5	0.7249052528
6	0.7241617809
7	0.7234662421
8	0.7226855996
9	0.7220910426
10	0.7215668579
11	0.7210678704
12	0.7206439987
13	0.7201775787
14	0.7197839169
15	0.7194303808
16	0.719048349
17	0.7187428245
18	0.7184151382
19	0.7180789267
20	0.7177477816
21	0.7173508946
22	0.7170534043
23	0.7168129948
24	0.7165514757
25	0.7162882442
26	0.7159753686
27	0.7157449533
28	0.7155226003
29	0.7153217331
30	0.7151240355
31	0.7149229389
32	0.7146663758
33	0.7144838512
34	0.7141911329
35	0.7140171598
36	0.7137776936
37	0.7135650245
38	0.7134280068
39	0.7132805516
40	0.7130588873
41	0.7128517562
42	0.7127138436
