iter	Passed	Remaining
0	84	84619
1	141	70818
2	190	63415
3	241	60032
4	300	59756
5	359	59490
6	412	58452
7	454	56372
8	510	56220
9	573	56785
10	639	57505
11	685	56461
12	730	55429
13	779	54865
14	843	55366
15	892	54871
16	937	54184
17	978	53364
18	1025	52966
19	1088	53357
20	1165	54332
21	1223	54403
22	1273	54105
23	1329	54050
24	1392	54316
25	1448	54276
26	1501	54097
27	1566	54368
28	1634	54743
29	1695	54818
30	1761	55053
31	1818	55023
32	1877	55024
33	1941	55173
34	1991	54897
35	2041	54674
36	2096	54578
37	2148	54380
38	2205	54345
39	2253	54083
40	2302	53847
41	2352	53655
42	2406	53564
